Question_ID,Domain,N_Pages,Question,A,B,C,D,E,F,Correct_Answer,Doc_ID,Page_Num
55,domain_2,4,Які діючі речовини містить препарат Сікапротект?,декспантенол та полівініловий спирт,калію гідрофосфат та тальк,"декспантенол, полівініловий спирт, бензалконію хлорид, калію гідрофосфат, калію дигідрофосфат та вода для ін’єкцій",кофеїн та глюкоза,фенітоїн та декстроза,бензалконію хлорид та вода,A,b0e35f26831baa753925da047ca36d318a100825.pdf,1
63,domain_2,10,До чого може призвести одночасне вживання офлоксацину з глібенкламідом?,до судом,до нефротичних ефектів,до невеликого підвищення сироваткових концентрацій глібенкламіду,до запалення,до коливання рівня глюкози у крові,до зміни стану коагуляції крові,C,60d1bee90467207fbbac980b346b932229542c73.pdf,3
65,domain_2,15,При одночасному застосуванні піперациліну з якими засобами слід регулярно проводити контроль коагуляційних проб?,При комплексному лікуванні вірусів,При застосуванні з нестероїдними протизапальними препаратами,При терапії гормонами,При одночасному застосуванні з антикоагулянтами,При використанні діуретиків,При лікуванні серцево-судинних хвороб,D,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,7
75,domain_1,101,Скільки тайм-аутів може запросити кожна команда під час гри в баскетбол?,П'ять тайм-аутів за гру,Два тайм-ауту в першій половині та три в другій половині,Два тайм-аути за гру,Один тайм-аут в кожній половині,Чотири тайм-аути в першій половині,Три тайм-ауту в кожній половині,B,b59848334218c38574465a72b75d6b4744bb985f.pdf,23
84,domain_2,5,"Який період напіввиведення нандролону деканоату, що міститься в препараті ретаболіл?",1 доба,48 годин,12 годин,6 діб,24 години,3 доби,D,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,4
95,domain_2,5,Які побічні ефекти з боку ендокринної системи можуть спостерігатися під час лікування ретаболілом?,пригнічення секреції гонадотропіну,реакції гіперчутливості,підвищений тиск,депресія,"доброякісні, злоякісні та неуточнені новоутворення",зміна лібідо,A,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,2
97,domain_1,48,Хто складає план проведення спортивних змагань з карате WKC?,Лікар змагань,Головний секретар,Члени апеляційного журі,Представник команди,Головний суддя,Комендант спортивних змагань,E,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,13
98,domain_1,48,Що не допускається під час суддівства змагань з карате WKC?,Суддям дозволяється спілкуватися з глядачами,Суддям дозволяється вести записи під час бою,Суддям можна вносити зміни до протоколів,Суддя не має права вступати в неофіційні контакти з учасниками,Суддям потрібно брати участь у змаганнях,Суддям необхідно провести опитування учасників,D,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,13
115,domain_2,10,Яка найпоширеніша тривалість лікування офлоксацином євро?,1 місяць,30 днів,20 днів,10-14 днів,1-3 дні,5-10 днів,F,60d1bee90467207fbbac980b346b932229542c73.pdf,7
120,domain_2,4,Яка тривалість курсу лікування препаратом Сікапротект?,3 роки,не більше 1 місяця,не більше 6 тижнів,встановлюється лікарем індивідуально,не більше 2 тижнів,не більше 3 днів,D,b0e35f26831baa753925da047ca36d318a100825.pdf,2
126,domain_2,10,Яка максимальна добова доза офлоксацину євро?,400 мг,300 мг,1000 мг,800 мг,600 мг,200 мг,D,60d1bee90467207fbbac980b346b932229542c73.pdf,7
128,domain_1,101,Яке покарання за виконаний технічний фол у баскетболі?,Штрафний кидок для суперника,Вилучення гравця,Зупинка гри,Попередження тренера,Втрата очок,Звіт для комісара,A,b59848334218c38574465a72b75d6b4744bb985f.pdf,42
132,domain_1,101,Яка мета гри в баскетбол?,Забрати м’яч у суперників,Показати свої навички,Закинути м’яч у кошик суперників,Зламати кошик суперників,Виграти час,Закинути м’яч у свій кошик,C,b59848334218c38574465a72b75d6b4744bb985f.pdf,2
144,domain_1,48,На основі яких документів розроблені Правила спортивних змагань з карате WKC?,Регламенту спортивних організацій,Правил та Положень Міжнародної конфедерації карате WKC,Національних законів,Статуту організації,Рекомендацій фахівців зі спорту,Національних чи міжнародних стандартів,B,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,2
145,domain_2,10,Які основні показання до застосування Офлоксацину Євро?,інфекції верхніх і нижніх сечовивідних шляхів,алергія,грип,дослідження крові,панкреатит,профілактика грипу,A,60d1bee90467207fbbac980b346b932229542c73.pdf,2
146,domain_1,48,Що таке шобу-іппон?,Правила для тренерів,Тип бойового мистецтва,Оцінка виступів команд,Визначення часу бою,"Правила, за якими визначається переможець при одному іппон чи двох ваза-арі",Форма змагань з ката,E,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,5
155,domain_2,4,Яким чином слід застосовувати сікапротект для дорослих?,закапувати по 3 краплі в одне око до 5 разів на добу,закапувати по 1 краплі в кожне око один раз на тиждень,закапувати по 1 краплі в кожне око до 6 разів на добу,закапувати по 2 краплі в кожне око до 4 разів на добу,додавати в рідину для контактних лінз,застосовувати у вигляді ін'єкцій,C,b0e35f26831baa753925da047ca36d318a100825.pdf,1
158,domain_2,8,При якому стані слід проявляти обережність під час застосування фервексу?,при грипі,при застудних захворюваннях,при бронхіті,при гастриті,при цукровому діабеті,при нежиті,E,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,3
161,domain_1,48,У якому разі на змаганнях з карате WKC дозволяється суддівство без піджаків?,Коли наявна травма,Під час тренувань,На міжнародних кубках,Коли немає часового обмеження,При температурі понад 22 градуса за Цельсієм за рішенням головного судді,Під час показових виступів,E,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,23
163,domain_2,15,Яка допоміжна речовина входить до складу Піперацилін-Тазобактам-Теви?,Цефалоспорини,Кларитроміцин ,Гентаміцин і тобраміцин,Пеніцилін,Тетрациклін,Натрію гідрокарбонат,F,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,1
166,domain_2,5,Яке дозування ретаболілу рекомендоване для чоловіків?,по 300 мг 2 рази на тиждень,по 200 мг 1 раз на тиждень,по 150 мг 1 раз на місяць,по 100 мг 2 рази на тиждень,по 100 мг 1 раз на тиждень,по 50 мг кожні 3-4 тижні,B,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,1
171,domain_2,10,Які мікроорганізми є стійкими до офлоксацину євро®?,Enterococcus faecalis,Haemophilus influenzae,Klebsiella pneumoniae,Morganella morganii,Escherichia coli,Salmonella spp.,A,60d1bee90467207fbbac980b346b932229542c73.pdf,1
175,domain_2,4,Який інтервал між застосуванням Сікапротекту та інших місцевих офтальмологічних препаратів?,необхідно застосовувати одночасно,30 хвилин,1 година,5 хвилин,6 тижнів,15 хвилин,F,b0e35f26831baa753925da047ca36d318a100825.pdf,3
180,domain_1,101,За яких умов м’яч стає живим на змаганнях з баскетболу?,пролунав сигнал годинника кидка,"суддя дає свисток тоді, коли м’яч живий","під час вкидання м’яч опиняється у розпорядженні гравця, який виконує вкидання",м’яч тимчасово не знаходиться у грі,"очевидно, що м’яч не увійде в кошик при штрафному кидку",будь-який м’яч закинуто з гри або зі штрафного кидка,C,b59848334218c38574465a72b75d6b4744bb985f.pdf,15
181,domain_2,20,У яких випадках застосування максифлоксу протипоказане?,відсутність гіперчутливості до антибіотиків групи хінолонів,порушення балансу електролітів,інфекційні захворювання підшкірних тканин,інфекційні захворювання шкіри,дорослим (від 18 років),пневмонія,B,aba537442395c1a4ca13d05e378a49a47865cc46.pdf,6
184,domain_2,20,"Якому лікуванню повинні піддаватися пацієнти з тяжкою міастенією, які приймають максифлокс?",додати кортикостероїди,змінити на інший антибіотик,"застосовувати з обережністю, стежити за симптомами міастенії",збільшити дозу,продовжити лікування без змін,зменшити дозу,C,aba537442395c1a4ca13d05e378a49a47865cc46.pdf,10
186,domain_2,5,Яке дозування ретаболілу рекомендоване для дітей?,по 50 мг кожні 3-4 тижні,по 100 мг 3-6 місяців,по 200 мг 1 раз на тиждень,внутрішньом’язово,по 100 мг 1 раз на тиждень,дітям протипоказано призначати ретаболіл,F,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,3
194,domain_2,4,Яке основне призначення сікапротекту?,покращення зору,лікування глаукоми,профілактика катаракти,лікування інфекцій ока,усунення алергічних реакцій,лікування сухості рогівки та кон’юнктиви,F,b0e35f26831baa753925da047ca36d318a100825.pdf,1
196,domain_2,10,У яких випадках забороняється прийом офлоксацину євро?,підвищений кров'яний тиск,алергія на амоксицилін,некомпенсована гіпоглікемія,пневмонія,гострий панкреатит,недостатність функції печінки,C,60d1bee90467207fbbac980b346b932229542c73.pdf,2
197,domain_1,48,Кому належить право проводити жеребкування в змаганнях з карате WKC?,Мандатній комісії,Представнику команди,Лікарю спортивних змагань,Головній суддівській колегії,Головному секретарю,Тренеру команди,D,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,8
206,domain_2,4,Який вплив може мати сікапротект на швидкість реакції при керуванні транспортом?,"покращує гостроту зору, а отже покращує швидкість реакції","може короткотерміново впливати на гостроту зору, а отже і на швидкість реакції",діє як заспокійливе,"зменшує концентрацію уваги, але не впливає на швидкість реакції",може викликати сонливість,не впливає на швидкість реакції,B,b0e35f26831baa753925da047ca36d318a100825.pdf,3
212,domain_1,48,Хто має право вносити зміни до Правил спортивних змагань з карате WKC?,Головний секретар,Учасники змагань,Міністерство молоді та спорту,Президент Федерації Карате,Будь-який тренер,Суддівська колегія Української Конфедерації Карате WKC,F,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,2
216,domain_2,5,Яка активна речовина міститься у препараті Ретаболіл?,нандролон,амінофенілсульфонову кислоту,фенілпропаноламін,естрадіол,тестостерон,оксандролон,A,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,1
226,domain_2,5,Яке з нижчевказаного не є побічним ефектом Ретаболілу?,слабковиражений гірсутизм,підвищення артеріального тиску,зміна лібідо,акне,"холестаз, жовтяниця",гінекомастія у чоловіків,B,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,2
229,domain_1,48,Які основні цілі спортивних змагань з карате WKC?,Організація семінарів для тренерів,Проведення міжнародних змагань,Субсидіювання спортивних клубів,Залучення спонсорів,"Розвиток та популяризація карате WKC, відбір спортсменів до національної збірної команди, виявлення найсильніших спортсменів",Рекламування певних товарів,E,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,2
239,domain_1,48,Який вид змагання з карате WKC визначає відповідність кваліфікації учасника нормативним вимогам?,Матчеві зустрічі,Відкриті чемпіонати,Показові виступи,Турніри-пам'яті,Командні зустрічі,Класифікаційні спортивні змагання,F,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,4
242,domain_1,101,Що діє у випадку обопільного фолу у баскетболі?,Гру поновлюють без штрафних кидків,Команда отримує штрафні кидки,Відбувається тайм-аут,Команди обмінюються м'ячем,Відбувається спірний кидок,Гру зупиняють на 5 хвилин,A,b59848334218c38574465a72b75d6b4744bb985f.pdf,41
251,domain_2,15,Які мікроорганізми є початково резистентними до піперациліну?,Piperacillin-Tazobactam-Teva,Enterococcus faecalis,Clostridium species,Legionella species,Citrobacter koseri,Streptococcus pneumonia,D,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,5
252,domain_1,101,Що таке неспортивний фол у баскетболі?,"Фол, що відбувається після свистка","Фол, що є законною спробою грати в м'яч",Фол під час вкидання,Персональний фол,Похибка у веденні м'ячем,"Контакт, що є недозволеним і не має на меті зіграти в м'яч",F,b59848334218c38574465a72b75d6b4744bb985f.pdf,43
257,domain_1,48,Що дозволено носити жінкам-учасницям змагань з карате WKC під карате-гі?,пояс,футболку,куртку,штани,протектори,емблему організації,B,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,25
260,domain_1,101,Скільки тайм-аутів можна взяти під час овертайму в матчі з баскетболу?,1 тайм-аут,Жодного тайм-ауту,3 тайм-аути,5 тайм-аутів,2 тайм-аути,4 тайм-аути,A,b59848334218c38574465a72b75d6b4744bb985f.pdf,23
264,domain_1,48,Що таке ката в змаганнях з карате WKC?,Командне змагання,Показові виступи перед суддями,Технічний прийом в бою,Спеціальна програма для досвідчених,Інструкції з техніки,"Індивідуальна формальна вправа, що містить ідею реального бою",F,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,3
266,domain_2,15,Які з аеробних грамнегативних бактерій є початково резистентними до піперациліну?,Legionella species,Enterococcus faecalis,Klebsiella pneumoniae,Pseudomonas aeruginosa,Escherichia coli,Staphylococcus aureus,A,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,4
276,domain_1,48,Які можуть бути види проведення спортивних змагань з карате WKC?,"Особисті, командні та особисто-командні",Лише особисті,Лише командні,Лише тренування,Лише національні,Лише міжнародні,A,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,4
279,domain_1,101,Яка кількість фолів призводить до дискваліфікації гравця в баскетбол?,Один технічний і один неспортивний фол,Три технічних фоли,Один персональний фол,Два технічних фоли або два неспортивних фоли,Чотири персональних фоли,Дискваліфікація не відноситься до фолів,D,b59848334218c38574465a72b75d6b4744bb985f.pdf,47
288,domain_2,4,Скільки флаконів-крапельниць міститься в одній упаковці сікапротекту?,10,12,6,1,5,30 мг,D,b0e35f26831baa753925da047ca36d318a100825.pdf,4
294,domain_2,15,Яка взаємодія Піперациліну з пробенецидом?,Не має жодного впливу,Прискорює виведення діючих речовин із організму,Підсилює побічні реакції,Знижує ефективність антибіотика,Пролонгує виведення Піперациліну і Тазобактаму,Зменшує дію глюкози,E,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,6
296,domain_1,48,Які працівники відповідають за медичне обслуговування на змаганнях з карате WKC?,Спонсори спортивних змагань,Тренери команд,Суддівська колегія,Представники комітету,Лікар спортивних змагань і медичний персонал.,Мандатна комісія,E,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,16
297,domain_2,20,Яка рекомендована доза максифлоксу для дорослих пацієнтів?,200 мг 3 рази на добу,400 мг 1 раз на добу,50-200 мг 2 рази на добу,600 мг 1 раз на добу,300 мг 1 раз на добу,787 мг,B,aba537442395c1a4ca13d05e378a49a47865cc46.pdf,13
299,domain_2,5,В яких випадках застосування ретаболілу протипоказано?,простудні захворювання,анемія,недостатність заліза,порушення сну,гострий біль,"вагітність; період годування груддю; карцинома простати, карцинома
грудної залози у чоловіків; нефротичний синдром при тривалій анаболічній терапії; тяжка
печінкова недостатність; метастази у пацієнтів з онкозахворюваннями; порфірія;
підвищена чутливість (алергія) до будь-якого із компонентів препарату; дитячий вік.",F,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,1
315,domain_2,8,Які препарати не рекомендується приймати разом із фервексом?,аскорбінова кислота,антибіотики,барбітурати,полівітаміни,нестероїдні протизапальні засоби,інгібітори МАО,F,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,2
327,domain_2,15,Який механізм дії піперациліну?,Зниження рівня цукру в крові,Інактивація токсинів бактерій,Перешкоджання реплікації вірусів,Стимуляція імунної системи,Виведення токсинів з організму,Пригнічення синтезу клітинної стінки бактерій,F,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,1
329,domain_2,20,Як слід приймати препарат максифлокс?,вводити ректально,вводити внутрішньом'язово,приймати орально,вводити внутрішньовенно,натирати на шкіру,вводити вагінально,D,aba537442395c1a4ca13d05e378a49a47865cc46.pdf,14
334,domain_2,5,Яка форма випуску препарату Ретаболіл?,капсули,розчин для ін’єкцій,таблетки,суспензія,мазь,сироп,B,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,1
336,domain_2,8,Якого кольору фервекс для дорослих?,прозорого,жовтого,світло-бежевого,лимонного,світлого,білого,C,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,1
356,domain_2,15,Які побічні реакції від застосування піперациліну/тазобактаму виникають найчастіше?,Втрата свідомості та судоми,Сильний головний біль і гарячка,Запаморочення і нудота,Сухість у ротовій порожнині і дискомфорт,Труднощі з диханням і набряк горла,"Діарея, нудота, блювання, висипання",F,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,13
360,domain_1,101,Коли гравцям у баскетбол може бути наданий тайм-аут?,В будь-який час гри,Коли м’яч стає мертвим,На початку гри,Лише в перерві,Тільки між чвертями,Тільки після фолу,B,b59848334218c38574465a72b75d6b4744bb985f.pdf,22
362,domain_2,4,Які протипоказання вказані для препарату Сікапротект?,Сльозотеча,Діти до 15 років,Вагітність,"Гіперчутливість до декспантенолу, полівінілового спирту або будь-яких інших компонентів препарату",Гострі запальні захворювання,Алергія на латекс,D,b0e35f26831baa753925da047ca36d318a100825.pdf,1
370,domain_2,8,У якому вигляді випускається Фервекс для дорослих?,порошок для орального розчину,свічки,капсули,саше,таблетки,сироп,A,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,1
375,domain_1,101,Що таке технічний фол у баскетболі?,Зазначення загальних фолів,Проблема з веденням м'яча,Фізичний контакт під час гри,"Фол, не пов’язаний з контактом із суперником",Наказ за використання часу,Втрата м'яча,D,b59848334218c38574465a72b75d6b4744bb985f.pdf,42
376,domain_1,48,Які емблеми дозволені на костюмі учасника змагань з карате WKC?,"Емблема організації, членом якої є спортсмен, розміром не більше 13 х 13 см",Емблеми з національними символами,Емблеми з художніми малюнками,Татуювання на тілі,Комерційні логотипи,Будь-які емблеми з назвами клубів,A,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,26
377,domain_1,48,Які документи потрібні для допуску спортсмена до спортивних змагань з карате WKC?,Анкета учасника,Документ про реєстрацію спорту,"Паспорт або інший документ з фотографією, що
засвідчує особу, кваліфікаційний квиток, будо-паспорт та довідку щодо
проходження медичного огляду",Лікарняна картка,Довідка про перевірку спорту,Виписка з банку,C,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,7
391,domain_2,8,Які діючі речовини входять до складу Фервексу для дорослих без цукру?,"амітриптилін, доксепін, міансерин, міртазапін, триміпрамін","парацетамол, аскорбінова кислота, феніраміну малеат","аспартам, лимонна кислота, повідон","фенітоїн, кальцію карбонат, тальк","нейролептики, барбітурати, бензодіазепіни","магнію стеарат, етанол, кофеїн",B,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,1
398,domain_2,15,Діти до якого віку не повинні приймати Піперацилін-Тазобактам-Тева?,До 5 років,До 12 років,Вікові обмеження відсутні,До 3 років,До 1 року,До 2 років,F,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,12
400,domain_2,8,Яка максимальна тривалість лікування фервексом для дорослих?,5 днів,7 днів,8 годин,2 години,3 дні,10 днів,A,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,5
403,domain_1,48,Яка найменша категорія ваги для дівчат 13 років у спортивних змаганнях з куміте?,До 60 кг,До 39 кг,До 50 кг,До 45 кг,До 70 кг,До 34 кг,D,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,47
404,domain_1,101,Які розміри ігрового майданчика для баскетбольного матчу?,30 м завдовжки та 18 м завширшки,25 м завдовжки та 15 м завширшки,8 м завдовжки та 15 м завширшки,32 м завдовжки та 20 м завширшки,35 м завдовжки та 20 м завширшки,20 м завдовжки та 15 м завширшки,C,b59848334218c38574465a72b75d6b4744bb985f.pdf,3
410,domain_2,10,Яка форма препарату офлоксацин євро?,сироп,"таблетки, вкриті плівковою оболонкою",крем,розчин,ампули,порошок,B,60d1bee90467207fbbac980b346b932229542c73.pdf,1
413,domain_1,48,Що таке куміте в змаганнях з карате WKC?,Умовний спортивний бій двох суперників,Семінар функціональної підготовки,Командна естафета,Показовий виступ,Гра на витривалість,Командний матч з ката,A,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,3
423,domain_2,20,Яка діюча речовина міститься у лікарському засобі Максифлокс?,моксифлоксацин,бактеріальні топоізомерази,амоксицилін,кислота хлористоводнева,гентаміцин,ципрофлоксацин,A,aba537442395c1a4ca13d05e378a49a47865cc46.pdf,1
425,domain_2,8,"Яка максимальна доза парацетамолу у складі фервексу, дозволена для дорослих на добу?",50 кг на добу,4 г на тиждень,5 г на добу,10 г на добу,1 г на добу,4 г на добу,F,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,3
426,domain_1,101,Хто проводить гру в баскетбол?,Гравці без суддів,Тільки судді,"Судді, судді за столом і комісар",Тільки комісар,Секретарі і помічники,Тренери і гравці,C,b59848334218c38574465a72b75d6b4744bb985f.pdf,2
427,domain_1,101,"Яка максимальна кількість фолів, після яких гравець повинен залишити гру в баскетбол?",Шість фолів,Один фол,Чотири фоли,Вісім фолів,П’ять фолів,Два фоли,E,b59848334218c38574465a72b75d6b4744bb985f.pdf,49
428,domain_1,101,Скільки гравців має бути на майданчику в кожній команді під час гри в баскетбол?,Сім гравців,Три гравці,Чотири гравці,П’ять гравців,Шість гравців,Два гравці,D,b59848334218c38574465a72b75d6b4744bb985f.pdf,9
431,domain_1,101,Скільки триває гра в баскетболі?,Дві половини по 20 хвилин,Чотири чверті по 12 хвилин,Одне півріччя,Три частини по 10 хвилин,Три чверті по 15 хвилин,Чотири чверті по 10 хвилин,F,b59848334218c38574465a72b75d6b4744bb985f.pdf,14
432,domain_1,48,Скількох кращих учасників визначають за результатами першого кола спортивних змагань з ката?,24 учасників,20 учасників,16 учасників,8 учасників,30 учасників,12 учасників,C,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,4
447,domain_2,4,Які побічні реакції можуть виникати під час застосування Сікапротекту?,зволоження ока,нудота і головний біль,порушення сну,сухість рогівки та кон’юнктиви,висипка та свербіж,"легке печіння, сльозотеча, подразнення очей",F,b0e35f26831baa753925da047ca36d318a100825.pdf,2
448,domain_2,4,Які дані щодо застосування Сікапротекту у період вагітності?,"препарат слід застосовувати з обережністю, за рекомендацією лікаря",препарат заборонено застосовувати,можна застосовувати в будь-який час,Досвід застосування препарату для лікування дітей відсутній.,можна без обмежень,не рекомендовано в перший триместр,A,b0e35f26831baa753925da047ca36d318a100825.pdf,2
453,domain_2,4,Чи можна використовувати м'які контактні лінзи під час застосування сікапротекту?,"Можна, якщо очі не червоніють","Можна, але тільки вдень",Не можна; можна використовувати лише жорсткі контактні лінзи,"Можна, але тільки ортомолекулярні лінзи",Необхідно зняти їх на всю тривалість лікування,Не можна; слід знімати їх перед закапуванням,F,b0e35f26831baa753925da047ca36d318a100825.pdf,2
456,domain_2,15,Яка лікарська форма препарату Піперацилін-Тазобактам-Тева?,Порошок для розчину для інфузій,Таблетки,Розчин для ін'єкцій,Мазь,Капсули,Сироп,A,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,1
458,domain_1,101,"Скільки штрафних кидків надають у випадку неспортивного фолу проти гравця, який не перебував у процесі кидка під час гри в баскетбол?",Три штрафних кидки,Жодного штрафного кидка,Один штрафний кидок,Чотири штрафних кидки,П'ять штрафних кидків,Два штрафні кидки,F,b59848334218c38574465a72b75d6b4744bb985f.pdf,43
459,domain_2,15,Скільки становить тривалість лікування Піперацилін-Тазобактам-Тевою при гострих інфекціях?,5 г щодня, 6 годин,12 годин,12 годин, 8 годин,48 годин,F,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,12
